Client Id,age,job,own.house,dependents,marital,gender,work.exp,education,default,balance,housing,loan,credit.score,contact,credit.history,day,month,duration,campaign,pdays,previous,poutcome,Y
12001,,admin.,1,2,,F,14,secondary,no,2343,yes,no,81,unknown,poor,5,may,1042,1,-1,0,unknown,1
12002,,admin.,1,3,married,F,16,secondary,no,45,no,no,96,unknown,critical,5,may,1467,1,-1,0,unknown,1
12003,,technician,0,0,married,M,15,unknown,no,1270,yes,no,92,unknown,very good,5,may,1389,1,-1,0,unknown,1
12004,,services,1,4,married,M,14,secondary,no,2476,yes,no,93,unknown,very good,5,may,579,1,-1,0,unknown,1
12005,,unknown,0,0,single,F,15,tertiary,no,0,yes,yes,75,unknown,good,5,may,562,2,-1,0,unknown,1
12006,60,retired,0,2,divorced,F,17,secondary,no,545,yes,no,83,unknown,very good,6,may,1030,1,-1,0,unknown,1
12007,,unknown,0,4,married,M,3,secondary,no,1,yes,no,95,unknown,very good,6,may,608,1,-1,0,unknown,1
12008,,admin.,1,4,,F,6,secondary,no,869,no,no,86,unknown,good,6,may,1677,1,-1,0,unknown,1
12009,,services,1,2,,F,11,secondary,no,5090,yes,no,84,unknown,verygood,6,may,1297,3,-1,0,unknown,1
12010,,technician,1,3,,M,17,secondary,no,484,yes,no,,unknown,critical,6,may,703,1,-1,0,unknown,1
12011,36,technician,1,4,married,M,14,secondary,no,368,yes,yes,61,unknown,Poor,6,may,1597,2,-1,0,unknown,1
12012,45,blue-collar,0,3,married,M,16,unknown,no,154,yes,no,94,unknown,critical,7,may,1138,1,-1,0,unknown,1
12013,,unknown,0,1,single,M,12,secondary,no,100,yes,no,64,unknown,very good,7,may,786,1,-1,0,unknown,1
12014,30,unknown,1,3,married,M,18,secondary,no,309,yes,no,93,unknown,very good,7,may,1574,2,-1,0,unknown,1
12015,29,unknown,1,0,,M,14,tertiary,no,199,yes,yes,88,unknown,poor,7,may,1689,4,-1,0,unknown,1
12016,46,unknown,0,0,single,F,16,tertiary,no,460,yes,no,86,unknown,good,7,may,1102,2,-1,0,unknown,1
12017,31,technician,0,0,single,F,13,tertiary,no,703,yes,no,88,unknown,good,8,may,943,2,-1,0,unknown,1
12018,,blue-collar,1,1,married,F,13,primary,no,70,no,no,,unknown,very good,8,may,813,1,-1,0,unknown,1
12019,35,unknown,1,4,,F,,tertiary,no,3837,yes,no,84,unknown,critical,8,may,1084,1,-1,0,unknown,1
12020,,blue-collar,0,2,single,M,9,primary,no,611,yes,no,83,unknown,good,8,may,541,3,-1,0,unknown,1
12021,49,services,0,0,married,M,17,secondary,no,-8,yes,no,91,unknown,good,8,may,1119,1,-1,0,unknown,1
12022,41,admin.,0,1,married,F,17,secondary,no,55,yes,no,65,unknown,critical,8,may,1120,2,-1,0,unknown,1
12023,,admin.,0,0,divorced,M,13,secondary,no,785,yes,no,73,unknown,poor,8,may,442,2,-1,0,unknown,1
12024,46,unknown,1,2,married,F,18,secondary,no,332,yes,no,90,unknown,good,9,may,772,1,-1,0,unknown,1
12025,43,blue-collar,1,2,,F,15,secondary,no,3,yes,no,96,unknown,good,9,may,929,3,-1,0,unknown,1
12026,31,admin.,1,3,married,M,11,secondary,no,307,yes,no,88,unknown,good,9,may,538,1,-1,0,unknown,1
12027,28,blue-collar,0,1,single,F,10,secondary,no,759,yes,no,88,unknown,very good,9,may,710,1,-1,0,unknown,1
12028,60,technician,1,2,,M,,primary,no,65,yes,no,83,unknown,critical,9,may,1028,2,-1,0,unknown,1
12029,45,blue-collar,0,3,,F,12,primary,no,101,yes,no,92,unknown,very good,12,may,460,5,-1,0,unknown,1
12030,32,management,0,3,single,F,0,tertiary,no,311,no,no,93,unknown,critical,12,may,757,2,-1,0,unknown,1
12031,35,blue-collar,0,3,married,F,12,primary,no,414,no,no,51,unknown,very good,13,may,504,4,-1,0,unknown,1
12032,33,management,0,3,divorced,M,17,secondary,no,5,yes,no,81,unknown,very good,13,may,1346,1,-1,0,unknown,1
12033,,unknown,1,4,married,F,14,tertiary,no,119,yes,no,,unknown,verygood,13,may,568,4,-1,0,unknown,1
12034,24,unknown,1,1,single,F,15,secondary,yes,-122,yes,no,82,unknown,verygood,13,may,1000,1,-1,0,unknown,1
12035,,entrepreneur,0,4,,F,17,primary,no,4,yes,no,76,unknown,poor,13,may,395,2,-1,0,unknown,1
12036,60,blue-collar,1,1,married,F,15,primary,no,1262,yes,yes,93,unknown,good,13,may,1015,1,-1,0,unknown,1
12037,48,management,1,2,married,F,5,unknown,no,1949,yes,no,87,unknown,very good,13,may,683,2,-1,0,unknown,1
12038,45,entrepreneur,1,4,divorced,M,9,unknown,no,-395,yes,no,85,unknown,verygood,13,may,470,1,-1,0,unknown,1
12039,36,blue-collar,0,1,married,M,11,secondary,no,1165,yes,no,93,unknown,critical,13,may,1001,4,-1,0,unknown,1
12040,52,management,0,3,married,F,11,unknown,no,2240,yes,no,,unknown,very good,13,may,845,1,-1,0,unknown,1
12041,37,entrepreneur,1,0,divorced,M,11,secondary,no,175,yes,yes,94,unknown,critical,13,may,753,6,-1,0,unknown,1
12042,35,blue-collar,0,0,divorced,F,13,primary,no,300,yes,no,85,unknown,very good,13,may,945,2,-1,0,unknown,1
12043,43,technician,1,2,married,F,9,secondary,no,3285,yes,no,93,unknown,very good,13,may,1721,2,-1,0,unknown,1
12044,,housemaid,1,4,married,M,15,secondary,no,3923,yes,no,94,unknown,critical,14,may,942,3,-1,0,unknown,1
12045,,blue-collar,0,4,divorced,F,10,primary,no,24,yes,no,95,unknown,good,14,may,832,1,-1,0,unknown,1
12046,39,management,0,3,divorced,F,16,tertiary,no,517,yes,yes,57,unknown,critical,14,may,1328,1,-1,0,unknown,1
12047,59,retired,0,0,married,M,10,unknown,no,1521,yes,yes,,unknown,very good,14,may,1125,2,-1,0,unknown,1
12048,41,blue-collar,1,0,married,F,12,unknown,no,2823,yes,no,72,unknown,good,14,may,858,1,-1,0,unknown,1
12049,48,blue-collar,1,1,married,M,14,unknown,no,1405,yes,no,86,unknown,critical,14,may,629,2,-1,0,unknown,1
12050,,blue-collar,0,2,married,M,14,secondary,no,1596,yes,no,86,unknown,very good,14,may,760,1,-1,0,unknown,1
12051,57,technician,1,0,married,M,4,tertiary,no,-1,no,no,,unknown,good,14,may,850,2,-1,0,unknown,1
12052,51,blue-collar,1,3,married,M,4,secondary,no,7180,yes,no,84,unknown,critical,14,may,927,1,-1,0,unknown,1
12053,,blue-collar,1,3,divorced,F,18,unknown,no,5291,yes,no,80,unknown,very good,14,may,1423,3,-1,0,unknown,1
12054,41,blue-collar,0,2,married,M,15,secondary,no,1384,yes,no,83,unknown,good,15,may,1162,4,-1,0,unknown,1
12055,46,unknown,0,1,married,F,15,secondary,no,556,yes,yes,95,unknown,critical,15,may,646,3,-1,0,unknown,1
12056,52,blue-collar,0,1,divorced,M,4,unknown,no,-191,yes,no,93,unknown,critical,15,may,755,1,-1,0,unknown,1
12057,43,self-employed,1,0,single,M,12,unknown,no,3173,no,no,94,unknown,good,15,may,746,1,-1,0,unknown,1
12058,44,blue-collar,0,4,married,M,14,unknown,no,146,yes,no,,unknown,good,15,may,483,1,-1,0,unknown,1
12059,49,admin.,1,3,,M,14,secondary,no,716,yes,no,93,unknown,good,15,may,1257,3,-1,0,unknown,1
12060,49,unknown,0,2,married,M,15,primary,no,341,yes,yes,75,unknown,good,15,may,520,2,-1,0,unknown,1
12061,40,unknown,0,4,married,F,9,primary,no,-9,yes,no,92,unknown,good,15,may,920,2,-1,0,unknown,1
12062,41,admin.,0,3,married,M,15,primary,no,-306,yes,no,91,unknown,verygood,15,may,500,1,-1,0,unknown,1
12063,44,technician,0,4,married,M,14,tertiary,no,4580,yes,no,84,unknown,poor,15,may,911,2,-1,0,unknown,1
12064,60,services,0,0,single,F,13,unknown,no,313,yes,no,76,unknown,critical,15,may,920,2,-1,0,unknown,1
12065,41,retired,1,2,divorced,F,13,primary,no,-233,yes,no,92,unknown,critical,15,may,1156,2,-1,0,unknown,1
12066,,blue-collar,0,1,married,M,11,unknown,no,2453,yes,no,54,unknown,good,15,may,1052,1,-1,0,unknown,1
12067,36,services,1,1,single,F,17,unknown,no,281,yes,no,95,unknown,very good,16,may,515,1,-1,0,unknown,1
12068,39,unknown,0,2,married,M,18,unknown,no,94,yes,yes,85,unknown,poor,16,may,813,1,-1,0,unknown,1
12069,42,unknown,1,0,divorced,M,15,secondary,no,153,yes,no,93,unknown,critical,16,may,844,1,-1,0,unknown,1
12070,,services,0,2,married,F,3,unknown,no,446,yes,no,88,unknown,very good,16,may,1252,1,-1,0,unknown,1
12071,26,blue-collar,1,0,married,F,7,secondary,no,246,yes,no,93,unknown,good,16,may,1143,3,-1,0,unknown,1
12072,45,blue-collar,0,2,married,F,14,primary,no,804,yes,no,57,unknown,good,16,may,528,1,-1,0,unknown,1
12073,31,blue-collar,0,0,married,F,17,secondary,no,92,yes,no,94,unknown,very good,16,may,688,1,-1,0,unknown,1
12074,29,admin.,0,4,single,F,13,secondary,no,163,yes,yes,88,unknown,very good,16,may,803,1,-1,0,unknown,1
12075,27,technician,1,3,single,F,15,secondary,no,1742,yes,no,85,unknown,critical,16,may,787,1,-1,0,unknown,1
12076,40,blue-collar,1,4,,F,16,unknown,no,1758,yes,no,90,unknown,critical,16,may,1230,3,-1,0,unknown,1
12077,33,blue-collar,0,2,single,M,12,secondary,no,-416,yes,no,93,unknown,critical,16,may,767,2,-1,0,unknown,1
12078,,blue-collar,1,3,married,F,14,primary,no,656,yes,no,90,unknown,good,16,may,894,1,-1,0,unknown,1
